Tipo;Valor_Original;Ano;Valor_Milhoes;Gestao
Receitas;€14.98 mi.;2006;14.98;Juvenal Juvêncio
Despesas;€4.40 mi.;2006;4.4;Juvenal Juvêncio
Balanço total;+€10.58 mi.;2006;10.58;Juvenal Juvêncio
Receitas;€30.63 mi.;2007;30.63;Juvenal Juvêncio
Despesas;€2.33 mi.;2007;2.33;Juvenal Juvêncio
Balanço total;+€28.30 mi.;2007;28.3;Juvenal Juvêncio
Receitas;€660 mil;2008;0.66;Juvenal Juvêncio
Despesas;€1.09 mi.;2008;1.09;Juvenal Juvêncio
Balanço total;€-430 mil;2008;-0.43;Juvenal Juvêncio
Receitas;€11.40 mi.;2009;11.4;Juvenal Juvêncio
Despesas;€3.46 mi.;2009;3.46;Juvenal Juvêncio
Balanço total;+€7.94 mi.;2009;7.94;Juvenal Juvêncio
Receitas;€19.62 mi.;2010;19.62;Juvenal Juvêncio
Despesas;€8.90 mi.;2010;8.9;Juvenal Juvêncio
Balanço total;+€10.72 mi.;2010;10.72;Juvenal Juvêncio
Receitas;€9.91 mi.;2011;9.91;Juvenal Juvêncio
Despesas;€13.80 mi.;2011;13.8;Juvenal Juvêncio
Balanço total;€-3.89 mi.;2011;-3.89;Juvenal Juvêncio
Receitas;€44.95 mi.;2012;44.95;Juvenal Juvêncio
Despesas;€12.00 mi.;2012;12.0;Juvenal Juvêncio
Balanço total;+€32.95 mi.;2012;32.95;Juvenal Juvêncio
Receitas;€11.50 mi.;2013;11.5;Juvenal Juvêncio
Despesas;0;2013;0.0;Juvenal Juvêncio
Balanço total;+€11.50 mi.;2013;11.5;Juvenal Juvêncio
Receitas;€9.80 mi.;2014;9.8;Carlos Miguel Aidar (Transição JJ)
Despesas;€13.15 mi.;2014;13.15;Carlos Miguel Aidar (Transição JJ)
Balanço total;€-3.35 mi.;2014;-3.35;Carlos Miguel Aidar (Transição JJ)
Receitas;€30.14 mi.;2015;30.14;Carlos Miguel Aidar (Transição Leco)
Despesas;€3.92 mi.;2015;3.92;Carlos Miguel Aidar (Transição Leco)
Balanço total;+€26.23 mi.;2015;26.23;Carlos Miguel Aidar (Transição Leco)
Receitas;€39.59 mi.;2016;39.59;Leco
Despesas;€18.27 mi.;2016;18.27;Leco
Balanço total;+€21.33 mi.;2016;21.33;Leco
Receitas;€55.27 mi.;2017;55.27;Leco
Despesas;€17.36 mi.;2017;17.36;Leco
Balanço total;+€37.92 mi.;2017;37.92;Leco
Receitas;€30.00 mi.;2018;30.0;Leco
Despesas;€17.38 mi.;2018;17.38;Leco
Balanço total;+€12.62 mi.;2018;12.62;Leco
Receitas;€9.80 mi.;2019;9.8;Leco
Despesas;€8.65 mi.;2019;8.65;Leco
Balanço total;+€1.15 mi.;2019;1.15;Leco
Receitas;€29.12 mi.;2020;29.12;Leco
Despesas;€6.05 mi.;2020;6.05;Leco
Balanço total;+€23.07 mi.;2020;23.07;Leco
Receitas;€7.60 mi.;2021;7.6;Julio Casares
Despesas;€750 mil;2021;0.75;Julio Casares
Balanço total;+€6.85 mi.;2021;6.85;Julio Casares
Receitas;€24.80 mi.;2022;24.8;Julio Casares
Despesas;€13.14 mi.;2022;13.14;Julio Casares
Balanço total;+€11.67 mi.;2022;11.67;Julio Casares
Receitas;€22.36 mi.;2023;22.36;Julio Casares
Despesas;€14.90 mi.;2023;14.9;Julio Casares
Balanço total;+€7.46 mi.;2023;7.46;Julio Casares
Receitas;€23.33 mi.;2024;23.33;Julio Casares
Despesas;€2.42 mi.;2024;2.42;Julio Casares
Balanço total;+€20.91 mi.;2024;20.91;Julio Casares
Receitas;€24.00 mi.;2025;24.0;Julio Casares
Despesas;0;2025;0.0;Julio Casares
Balanço total;+€24.00 mi.;2025;24.0;Julio Casares
